firstSim,secondSim,id1,id2
0.03968254,0.39778325,Multiple,G04BE
0.969697,0.77133656,Multiple,R05DA
0.15862069,0.29346094,Multiple,Multiple
0.093333334,0.3851175,Multiple,Multiple
0.03937008,0.25851393,Multiple,Multiple
0.2720848,0.45086706,Multiple,N04BC
0.24444444,0.5310421,Multiple,Multiple
0.16141732,0.48060942,Multiple,G04BE
0.959596,0.9712838,Multiple,Multiple
0.3015873,0.34596375,Multiple,N04BC
0.15862069,0.2552167,Multiple,Multiple
0.93333334,0.8818182,N01BB,Multiple
0.35897437,0.2303665,N01BB,Multiple
0.6086956,0.6164383,N01BB,N01BB
0.93333334,0.8584475,N01BB,N01BB
0.93333334,0.99545455,N01BB,N01BB
0.35897437,0.21525885,Multiple,Multiple
0.6086956,0.6923077,Multiple,N01BB
0.93333334,0.96410257,Multiple,N01BB
0.93333334,0.8863636,Multiple,N01BB
0.064935066,0.17028986,S01EX,Multiple
0.82978725,0.64912283,B02AA,B02AA
0.3472222,0.28089887,G03AC,Multiple
0.4509804,0.430622,G03AC,Multiple
0.78409094,0.25853658,G03AC,Multiple
0.97183096,0.3286385,G03AC,Multiple
0.32394367,0.430622,G03AC,G03AC
0.978022,0.5460993,N05CA,N05CA
0.978022,0.6433566,N05CA,N05CA
0.12765957,0.62637365,N05CA,Multiple
0.9270833,0.4522293,N05CA,Multiple
0.978022,0.5460993,N05CA,N05CA
0.978022,0.6060606,N05CA,N05CA
0.978022,0.4117647,N05CA,N05CA
0.978022,0.5598086,N05CA,Multiple
0.11612903,0.15454546,L01XX,Multiple
0.54761904,0.8015267,L01XX,Multiple
0.07692308,0.11132076,L01XX,L01XX
0.1125,0.20111732,L01XX,L01XX
0.77922076,0.8015267,L01XX,Multiple
0.060240965,0.16746412,L01XX,L01XX
0.06329114,0.055555556,L01XX,L01XX
0.060240965,0.18571429,L01XX,L01XX
0.22357723,0.015873017,L01XX,L01XX
0.43564355,0.28023598,L01XX,L01XX
0.19125684,0.1298077,L01XX,L01XX
0.20945945,0.3003096,C01BD,C01BD
